UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPLCN,APPLCNM,APPLCNW,ADMSSN,ADMSSNM,ADMSSNW,ENRLT,ENRLM,ENRLW,ENRLFT,ENRLFTM,ENRLFTW,ENRLPT,ENRLPTM,ENRLPTW,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR75,SATMT25,SATMT75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75
211431,1,2,1,2,5,3,1,1,3,721,120,601,662,99,563,163,31,132,162,31,131,1,0,1,148,91,24,15,500,590,480,563,19,24,17,24,19,23
211440,1,5,1,1,1,1,1,1,3,27634,16756,10878,4267,1936,2331,1585,789,796,1585,789,796,0,0,0,1220,77,574,36,700,760,760,800,33,35,33,35,32,36
211468,1,1,1,1,1,3,1,1,3,1375,13,1362,837,0,837,205,,205,205,,205,,,,182,89,23,11,493,600,470,580,18,24,16,24,16,24
211477,1,3,3,3,1,3,2,3,3,281,113,168,237,97,140,105,44,61,51,21,30,54,23,31,,,,,,,,,,,,,,
211556,1,2,1,1,1,3,3,2,3,2531,771,1760,1574,422,1152,312,88,224,312,88,224,0,0,0,,,,,,,,,,,,,,
211583,1,5,1,5,2,3,1,1,3,1440,580,860,935,364,571,222,104,118,221,103,118,1,1,0,188,90,1,1,468,560,450,540,,,,,,
211635,3,3,1,3,1,3,2,3,1,5,0,5,4,,4,4,,4,4,,4,,,,,,,,,,,,,,,,,
211644,1,5,1,2,2,2,1,2,3,2640,858,1782,2509,809,1700,766,235,531,742,232,510,24,3,21,688,90,97,13,470,570,470,560,17,23,16,23,17,23
211802,1,2,1,2,1,3,2,3,3,64,11,53,51,9,42,35,5,30,35,5,30,,,,,,,,,,,,,,,,,
211893,3,3,2,3,1,1,2,2,3,687,392,295,27,22,5,21,16,5,21,16,5,,,,,,,,,,,,,,,,,
211981,1,5,1,1,5,3,1,1,3,1676,769,907,1554,701,853,377,161,216,377,161,216,,,,339,90,43,11,490,600,480,570,18,27,16,25,16,26
212009,1,1,1,2,1,2,2,1,2,6426,2689,3737,2574,1034,1540,453,205,248,453,205,248,0,0,0,,,,,,,,,,,,,,
212054,1,2,1,2,1,2,1,1,3,31824,15562,16262,23771,11513,12258,3178,1704,1474,3161,1697,1464,17,7,10,2745,87,710,22,590,680,600,710,25,31,25,33,24,30
212106,1,3,1,1,3,3,1,5,3,7231,2357,4874,5375,1835,3540,1302,464,838,1300,462,838,2,2,0,955,73,402,31,570,650,560,650,23,28,22,29,22,27
212115,1,1,1,1,3,3,5,1,3,6747,2610,4137,5715,2068,3647,1126,492,634,1123,490,633,3,2,1,914,81,117,10,460,560,450,540,17,21,15,21,16,21
212133,1,2,1,2,1,3,5,1,3,2207,646,1408,1349,380,899,357,135,222,329,131,198,28,4,24,100,37,22,8,530,620,500,610,20,27,19,25,20,32
212160,1,1,1,2,2,2,1,1,3,2872,1190,1682,2393,939,1454,699,297,402,690,291,399,9,6,3,610,87,137,20,490,590,480,570,18,23,16,23,17,23
212197,1,2,1,1,1,3,1,1,3,1893,754,1139,1530,601,929,377,150,227,370,149,221,7,1,6,281,75,47,13,550,640,530,650,21,28,20,29,19,27
212452,1,3,1,3,1,3,3,1,3,3,1,2,3,1,2,3,1,2,1,0,1,2,1,1,,,,,,,,,,,,,,
212577,1,2,1,1,1,3,3,1,3,9502,4255,5247,2888,1171,1717,627,290,337,627,290,337,,,,,,,,,,,,,,,,,
212601,1,2,1,1,2,3,1,1,3,4727,2135,2592,3570,1499,2071,734,287,447,719,282,437,15,5,10,599,82,246,34,520,620,510,620,19,26,18,25,18,26
212656,1,3,1,1,2,3,1,1,3,2801,1995,806,1491,915,576,314,183,131,310,180,130,4,3,1,231,74,65,21,520,630,500,610,19,29,19,28,17,27
212674,1,1,1,1,1,2,2,1,3,5916,2828,3086,2842,1377,1465,681,331,350,681,331,350,,,,,,,,,,,,,,,,,
212805,1,3,1,2,1,3,1,1,1,1697,924,773,1348,694,654,490,267,223,490,267,223,,,,410,84,182,37,576,691,554,693,23,30,23,32,23,29
212832,1,2,1,1,2,3,1,1,3,1030,198,832,980,187,793,241,52,189,240,52,188,1,0,1,220,92,32,13,470,560,460,540,17,24,,,,
212911,5,5,1,2,1,3,1,2,3,4963,2211,2752,810,367,443,363,159,204,363,159,204,,,,248,68,156,43,680,750,700,790,32,34,33,36,29,34
212984,1,2,1,2,2,3,1,1,3,1403,360,1037,1021,246,775,346,106,240,346,106,240,0,0,0,334,97,30,9,470,570,460,540,18,22,15,22,16,21
212993,1,3,1,3,5,5,3,1,3,60,45,15,60,45,15,32,24,8,32,24,8,,,,,,,,,,,,,,,,,
213011,1,2,1,2,2,2,5,1,3,1985,573,1412,1608,433,1175,259,88,171,252,87,165,7,1,6,178,69,22,9,480,590,460,570,18,24,,,,
213020,1,2,1,2,2,2,1,1,3,10289,3509,6780,9569,3161,6408,1891,729,1162,1849,699,1150,42,30,12,1570,83,223,12,460,570,450,550,16,23,15,23,16,23
213163,3,3,1,3,1,3,3,3,1,7,1,6,7,1,6,2,0,2,2,,2,,,,,,,,,,,,,,,,,
213233,1,3,1,2,1,5,2,3,5,318,253,65,310,252,58,158,127,31,154,123,31,4,4,0,,,,,,,,,,,,,,
213251,1,3,1,1,1,3,2,1,3,2344,1043,1301,1659,692,967,398,179,219,398,179,219,0,0,0,,,,,,,,,,,,,,
213303,1,5,5,3,5,3,5,1,3,2051,1126,925,1615,869,746,343,189,154,340,189,151,3,0,3,147,43,17,5,480,560,400,510,14,22,13,20,16,24
213321,1,2,1,1,2,3,2,1,3,4176,2101,2075,3380,1651,1729,560,303,257,557,301,256,3,2,1,,,,,,,,,,,,,,
213349,1,1,1,2,2,1,1,1,3,6854,2909,3945,6163,2588,3575,1397,594,803,1391,593,798,6,1,5,1320,94,164,12,490,580,480,560,18,24,16,23,17,24
213358,1,2,1,2,1,2,5,3,3,1220,502,718,1213,501,712,205,86,119,205,86,119,,,,163,80,36,18,450,590,420,550,17,21,16,23,16,23
